31 -8
28 -11
20 -8
8 -24
51 12
1 -3
48 -30
27 -15
30 -5
64 -27
18 0
33 -9
37 -23
30 -30
1 12
58 -13
37 -12
42 -5
28 7
63 15
28 30
7 -16
23 -28
35 3
2 -16
45 -8
45 -6
38 23
38 -16
52 20
16 -13
1 13
1 11
1 -5
12 1
17 -21
36 -18
29 -21
78 1
19 -12
63 -30
49 11
4 1
40 -18
36 -1
22 30
47 -12
1 0
7 29
33 1
44 1
29 18
21 -9
2 23
42 9
1 -20
20 17
37 -30
39 -12
51 7
32 29
39 25
10 24
50 -14
8 5
1 8
44 0
21 30
11 4
28 -6
1 12
10 2
1 15
1 -15
28 -30
30 12
3 16
32 -30
19 6
25 12
16 3
1 5
13 10
70 30
22 8
1 -12
18 1
62 30
9 3
38 30
23 -1
23 -5
25 -8
15 -5
16 -30
39 4
34 -9
26 15
18 -9
15 -5
56 -1
63 8
1 -12
43 18
40 8
6 24
1 7
1 11
15 -30
56 30
17 4
6 -5
36 30
1 15
21 -1
16 6
1 -12
35 -9
11 -30
34 23
34 -15
38 -20
1 3
24 0
34 27
12 -1
52 -29
36 30
31 -22
1 4
28 -29
1 5
31 -8
28 30
12 -24
17 -11
11 -2
28 -1
11 -3
34 -11
16 -7
19 6
45 24
62 1
28 -17
38 -23
27 3
20 30
39 3
42 9
24 15
19 -18
52 -2
37 11
1 12
30 4
1 -25
8 -1
18 -30
26 30
20 30
38 -30
15 8
3 -15
18 0
25 -8
14 0
44 -6
25 3
1 27
1 -3
6 10
43 -6
28 9
1 -30
1 12
31 -13
51 -7
37 -30
24 17
1 -30
34 -8
31 -21
30 -15
50 -9
70 -10
33 -10
52 2
13 -18
22 30
27 -27
40 -13
2 -9
31 10
1 -29
57 24
44 30
3 14
21 15
27 13
37 -23
30 -17
17 -30
65 -14
1 -6
12 -1
40 -15
1 -7
45 -24
65 -5
23 23
32 22
12 -3
7 0
1 2
12 4
29 -16
67 -20
27 22
48 1
14 -16
35 2
1 -14
43 2
52 24
22 -28
54 -2
7 -3
13 6
8 5
46 -26
50 5
26 18
1 -1
18 10
1 -8
47 -16
31 -8
26 -1
41 17
8 -2
10 -19
23 -30
1 0
25 15
1 -23
2 28
19 30
10 29
3 1
1 -7
22 -8
55 -24
45 3
27 -12
68 8
43 13
25 18
5 -8
1 19
31 8
44 22
16 26
42 17
45 -28
40 30
37 1
43 -9
6 -17
46 -22
8 28
10 22
48 1
11 28
67 0
5 4
17 2
5 18
1 -23
46 10
65 27
36 2
22 16
2 -6
25 5
15 -23
31 27
28 -16
30 -4
32 30
22 8
64 -7
62 -30
1 11
24 -13
30 -17
9 16
10 -25
29 -28
27 -4
1 13
40 -17
12 -2
44 -30
8 -5
28 5
26 15
1 13
43 -29
25 4
12 1
40 -9
10 -30
33 -12
25 18
1 -21
23 -30
8 -19
16 -9
27 24
17 15
62 17
38 -9
19 14
50 9
19 20
33 3
11 -14
27 30
11 -26
19 -30
8 -29
38 7
35 0
68 30
1 -5
7 27
23 -9
26 7
19 -13
55 -19
44 1
26 4
53 9
32 8
3 -7
54 2
43 17
44 -18
42 18
53 14
1 -26
24 4
1 4
27 16
22 -25
31 -22
49 -19
41 3
12 30
46 13
10 -4
13 -30
23 1
22 6
61 15
1 14
29 -6
39 -22
81 18
45 0
22 30
5 -27
1 7
43 24
13 1
25 -23
42 -5
13 2
21 13
17 4
46 13
15 -3
18 -15
12 -17
1 -9
30 -16
19 4
36 -8
22 8
19 -16
1 9
34 -15
18 30
2 -1
1 -2
7 30
32 0
1 6
26 -24
39 -3
27 26
2 4
31 6
59 20
50 -2
1 1
4 6
23 -13
32 12
17 27
32 29
16 -30
28 -5
49 -29
11 0
36 -30
56 -26
69 -8
8 -16
9 -3
46 -29
48 -10
1 0
8 21
41 -2
64 16
25 7
11 -5
49 -19
40 -4
25 26
49 21
46 16
68 22
1 10
1 3
21 22
33 -11
47 30
45 -30
36 9
13 26
1 5
35 -25
64 -14
12 -16
10 16
41 -14
1 17
42 -9
1 24
18 10
23 -8
19 -13
55 10
12 4
14 -29
12 0
8 -23
53 23
10 25
37 14
44 -21
34 4
1 12
28 -14
61 1
19 -1
1 25
65 -15
2 0
18 -6
6 -22
48 -24
1 -30
16 -17
7 25
10 7
66 4
31 24
19 7
1 14
45 3
23 -16
24 26
40 -13
22 22
35 -3
38 -27
10 -19
21 -12
53 -30
8 29
79 -5
20 -7
38 30
7 6
38 15
1 -5
34 4
51 -5
60 2
38 -27
74 -13
41 28
15 -30
11 30
29 12
1 9
41 -11
36 -15
16 30
42 10
59 -14
2 13
44 -12
42 -30
23 -7
28 10
40 30
35 30
39 -23
40 -30
12 16
35 20
53 -30
58 -13
17 -12
28 24
31 3
35 -30
12 11
1 -5
24 -27
25 3
6 17
12 -28
35 -4
27 -1
1 -14
1 -1
31 30
48 -28
1 -23
1 17
10 18
3 -1
7 29
1 17
27 -30
45 -30
21 -18
54 -2
33 -21
27 -3
44 14
30 0
1 -1
24 24
28 25
14 6
7 -6
25 -5
34 11
38 30
38 29
26 17
17 0
32 4
12 -4
1 21
66 12
1 -8
34 30
49 -30
27 2
22 4
18 -30
39 -1
32 30
43 -27
15 -30
28 -29
88 -19
35 -14
27 -15
6 9
1 1
25 1
17 -14
28 19
3 26
19 25
18 -23
19 -22
40 12
